Comment,Sentiment
Where is the link?,Negative
Thanks for updates,Positive
Does 2021 passed out can apply ?,Neutral
comment for query,Neutral
Thank You it was really helpfull ..!,Positive
Thanks for full explanation,Positive
Any update regarding when Accenture will start hiring for 2025 batch ??,Negative
When will accenture onboarding start who got offer from accenture ?,Neutral
Thanks for sharing,Positive
Is 2026 passout batch available?,Neutral
Please tell something about hackdiva accenture hiring,Negative
